Pressure,Temperature,Catalyst,Time,Yield
5.44,119.1,2.58,26.8,81.4
6.88,108.1,2.97,21.4,83.2
6.33,116.5,2.68,28.2,97.6
6.0,117.1,3.06,26.2,93.9
4.89,113.5,2.21,33.5,86.5
4.89,119.7,3.56,32.1,83.1
4.65,123.7,2.2,27.3,50.0
6.67,123.5,4.4,24.4,74.5
6.0,114.0,2.7,39.8,100.0
6.27,107.3,3.62,29.1,71.3
4.55,124.7,4.64,33.8,51.7
6.92,121.8,3.95,22.8,83.4
6.58,107.5,3.6,29.7,79.1
5.03,123.4,2.97,20.6,50.0
4.95,122.4,3.0,30.1,61.5
4.96,115.4,4.01,39.3,98.8
5.26,116.8,4.98,27.7,100.0
5.81,113.0,3.99,20.8,98.5
5.58,106.1,3.67,20.6,52.8
5.23,111.7,4.19,27.8,92.8
6.03,121.1,3.4,23.2,78.1
4.85,105.1,2.18,20.5,50.0
5.23,111.7,3.69,35.1,92.0
5.42,113.0,4.87,29.2,100.0
5.64,115.7,2.53,25.8,95.2
6.46,123.4,4.07,38.0,76.9
5.0,111.9,2.6,22.3,77.1
5.79,111.9,3.61,39.1,97.8
5.98,119.8,2.29,26.3,82.9
4.62,114.0,3.35,37.8,95.9
6.02,109.5,4.27,32.1,88.2
4.93,114.0,3.04,36.5,88.1
4.66,107.8,3.99,39.7,75.1
6.87,108.5,4.39,25.8,91.4
6.91,115.0,4.78,39.2,100.0
6.52,113.4,2.7,27.8,99.3
5.26,123.3,3.2,27.7,52.7
4.74,112.2,2.46,26.8,79.6
6.21,116.6,4.98,30.8,100.0
5.6,117.6,4.78,23.1,100.0
4.81,105.3,3.62,31.1,50.0
5.74,118.3,4.53,30.8,100.0
4.59,108.6,3.56,35.2,69.6
6.77,124.2,3.87,36.7,70.1
5.15,108.0,2.27,28.8,59.8
6.16,113.3,4.27,26.0,100.0
5.28,106.7,2.38,25.2,50.2
5.8,124.9,4.48,23.9,54.8
5.87,115.0,4.35,21.2,100.0
4.96,116.9,4.13,26.8,92.9
6.92,106.3,2.11,25.4,60.8
6.44,120.0,2.91,39.3,89.3
6.85,109.2,2.79,31.2,86.6
6.74,123.0,3.08,26.9,71.4
5.99,109.1,2.26,31.6,82.0
6.8,108.8,4.81,22.8,91.1
4.72,105.7,3.66,28.9,51.3
4.99,114.4,2.92,32.5,92.3
4.61,116.3,3.19,29.8,87.7
5.31,106.3,3.34,28.0,59.6
5.47,120.5,3.8,39.9,88.1
5.18,114.1,3.55,37.6,98.1
6.57,115.5,4.76,32.5,100.0
5.39,113.8,3.49,31.4,98.4
5.2,113.0,4.98,32.4,100.0
5.86,116.2,4.55,24.0,100.0
4.85,108.1,2.63,27.9,59.3
6.51,108.6,4.79,20.8,88.5
4.69,122.2,2.35,29.5,55.6
6.97,123.9,4.45,30.9,74.9
6.43,112.5,3.14,24.6,99.4
5.0,110.4,4.63,39.3,92.1
4.51,117.9,4.6,38.2,94.8
6.54,113.2,4.42,34.4,100.0
6.27,105.5,4.37,30.7,65.3
6.32,108.1,2.91,37.4,74.9
6.43,119.3,2.24,22.6,83.4
4.69,118.2,3.21,35.8,86.4
5.4,105.5,2.52,22.5,50.0
4.79,109.4,4.08,35.9,80.7
6.66,109.6,3.04,25.5,83.5
6.06,118.4,4.93,37.5,100.0
5.33,105.4,3.92,38.9,54.3
4.66,107.1,4.47,23.0,59.5
5.28,121.0,2.4,29.3,69.1
5.31,108.6,4.59,39.6,84.8
6.32,118.1,4.77,29.7,100.0
6.09,109.8,3.46,37.3,86.3
6.72,107.0,3.82,31.8,79.1
5.68,109.9,4.29,27.5,91.6
4.8,119.4,2.52,25.7,75.2
6.28,122.1,3.51,24.1,73.4
6.4,121.6,3.2,35.2,82.3
5.9,112.9,2.44,27.7,90.8
6.43,118.4,3.1,30.2,97.7
5.73,109.1,2.2,29.8,75.0
5.81,110.9,2.08,31.5,81.5
5.57,122.9,2.41,37.3,62.7
4.56,105.3,4.89,39.6,55.2
4.77,106.7,3.65,28.2,59.9
4.58,109.2,4.9,36.6,85.0
6.09,105.5,3.3,35.3,59.4
5.29,108.6,2.94,31.5,72.4
5.77,116.7,3.52,39.1,100.0
6.77,113.4,3.32,24.0,100.0
5.12,122.9,2.32,22.2,51.2
5.53,121.3,3.92,37.1,85.2
6.39,111.8,2.65,28.8,94.9
5.07,110.2,3.86,36.9,86.0
4.69,112.6,3.95,37.9,92.5
5.22,116.8,2.46,21.2,84.0
4.9,110.4,2.18,37.7,77.6
6.82,117.5,4.34,29.0,100.0
6.52,113.2,3.38,30.2,100.0
6.08,116.0,2.17,32.5,97.6
6.68,113.7,4.98,38.5,100.0
6.51,110.9,2.17,20.4,85.2
4.97,124.0,4.09,29.5,57.7
6.73,120.3,4.95,33.8,100.0
5.85,107.8,2.72,34.5,71.8
6.52,122.4,2.43,33.9,76.7
6.74,114.7,2.36,22.7,96.7
5.3,122.9,2.91,26.0,57.4
4.78,121.0,2.3,27.2,63.6
5.07,113.5,4.08,36.1,96.2
5.57,105.4,2.19,25.6,50.0
6.55,110.4,3.53,24.2,91.8
6.65,115.8,4.99,39.1,100.0
4.52,117.7,4.44,20.2,87.3
5.78,110.2,3.85,40.0,95.4
5.54,107.8,2.92,33.5,67.4
5.06,121.7,3.87,36.6,78.9
4.8,124.7,3.58,25.9,50.0
5.34,115.5,3.28,20.3,92.5
6.86,108.4,2.39,34.8,80.2
5.31,110.4,4.66,36.7,96.4
5.8,105.4,3.35,34.8,51.8
6.26,123.3,2.58,22.9,62.2
5.41,107.4,3.1,35.1,67.0
6.93,116.5,3.24,35.4,100.0
6.91,110.5,4.48,33.2,100.0
5.13,116.1,4.2,35.3,98.0
5.74,118.0,4.31,36.9,100.0
5.25,121.6,2.03,32.3,63.5
5.21,109.1,3.25,21.8,73.6
4.59,105.2,3.44,29.8,50.0
6.02,107.7,2.06,21.6,64.5
5.76,123.0,2.78,28.2,59.5
4.63,122.5,4.28,28.1,67.1
5.2,116.9,2.41,21.3,83.9
6.77,117.0,3.61,27.0,100.0
5.1,118.3,2.65,22.2,81.3
4.86,108.5,2.04,36.2,65.0
5.72,123.3,2.72,39.0,62.3
6.96,113.4,4.93,21.4,100.0
5.11,112.7,4.4,39.1,96.3
6.18,115.4,4.88,30.5,100.0
6.4,105.9,3.46,26.0,58.2
5.09,108.3,2.33,21.5,61.3
6.32,119.8,3.64,30.0,92.6
5.42,106.7,3.36,35.9,64.4
6.08,117.1,4.53,34.1,100.0
6.08,109.9,2.29,21.0,77.2
5.84,112.8,3.46,21.5,95.1
4.73,110.8,2.45,28.1,75.5
6.59,112.1,2.97,25.9,97.4
5.3,119.4,4.21,24.6,88.9
4.97,110.9,3.43,25.6,79.2
4.6,116.3,3.13,36.1,90.6
5.98,114.5,3.18,38.6,100.0
6.19,118.3,3.38,28.1,93.7
4.54,123.7,4.36,38.1,59.1
5.78,119.7,4.68,26.4,94.0
5.07,109.3,4.87,29.5,85.0
6.11,105.6,4.36,24.5,61.6
4.94,110.2,2.95,32.8,81.8
6.23,116.9,4.06,39.6,100.0
5.47,106.0,3.31,32.1,53.6
6.84,114.9,2.76,27.2,100.0
4.84,116.9,4.52,33.0,99.9
5.35,111.7,2.12,22.5,79.8
4.78,120.4,4.71,37.8,89.1
6.81,107.1,3.38,30.1,79.9
6.69,106.5,3.91,29.0,74.6
5.14,119.6,3.98,31.7,87.8
6.15,114.9,4.69,32.5,100.0
6.54,118.8,3.91,21.4,97.6
5.89,113.7,3.84,33.7,100.0
5.82,109.9,2.2,24.8,76.2
5.1,121.4,3.56,34.3,78.6
4.73,121.0,2.45,36.5,67.6
6.74,118.9,4.21,36.1,100.0
6.75,110.4,3.54,31.1,98.3
6.08,116.8,4.04,30.4,100.0
5.35,112.2,2.13,22.9,81.5
5.37,106.8,2.25,35.5,53.2
6.31,123.3,4.15,25.4,72.0
6.74,107.7,2.22,29.9,74.6
6.72,124.0,2.21,25.7,55.6
6.45,113.9,2.04,22.7,92.6
6.11,108.7,4.87,32.6,95.2
4.71,115.8,4.21,21.1,90.0
4.9,122.5,3.06,35.0,61.6
6.75,119.6,2.89,26.4,94.0
6.02,121.1,3.05,20.0,79.6
4.52,118.2,4.32,30.2,89.2
4.75,118.8,3.98,20.9,84.9
6.16,122.0,2.56,25.5,73.1
4.51,110.0,2.52,34.1,70.9
4.9,114.8,2.3,21.3,80.5
5.87,109.4,3.98,36.8,92.5
6.23,124.8,4.29,20.1,59.4
6.13,123.9,2.8,24.9,57.5
5.06,105.8,2.06,34.8,50.0
6.28,119.1,2.25,26.3,89.8
5.09,123.5,4.9,22.0,61.8
5.31,108.6,2.89,27.2,69.6
6.37,116.4,4.31,25.4,100.0
6.12,123.3,3.87,36.9,75.6
6.62,105.7,3.15,26.3,60.6
6.14,118.9,2.62,35.8,92.2
5.92,110.9,2.36,37.8,89.4
4.73,123.5,3.85,28.7,56.5
5.42,124.4,4.32,38.2,61.3
5.16,123.9,3.93,27.5,51.4
5.11,114.5,3.59,39.3,97.4
6.93,122.2,2.13,21.8,71.2
5.48,121.9,4.91,33.7,80.7
6.73,111.4,4.4,29.9,100.0
6.08,121.6,2.88,27.8,74.9
6.49,105.7,4.94,32.7,75.2
5.76,116.9,3.81,34.1,100.0
5.94,109.6,3.75,20.1,82.5
5.73,107.4,4.24,23.3,71.6
4.99,106.5,4.44,34.3,64.3
6.31,118.9,3.97,33.3,99.0
5.2,111.8,2.38,39.3,86.9
4.56,119.5,3.01,35.2,77.0
6.11,106.3,4.78,39.0,73.2
4.94,111.3,2.67,34.1,83.6
6.85,115.8,3.12,26.0,100.0
6.88,120.8,3.3,22.1,85.2
6.79,111.4,3.32,35.6,100.0
5.43,117.5,3.84,32.9,95.2
4.54,122.7,4.83,21.0,64.4
6.82,117.3,2.72,27.2,100.0
5.57,109.7,2.36,39.1,80.1
6.92,105.5,2.59,30.0,58.6
6.91,122.4,4.66,28.7,86.3
6.63,105.4,3.94,29.2,62.1
5.24,122.5,2.86,24.2,60.2
5.46,115.6,4.45,27.4,99.7
6.63,123.8,4.58,27.4,72.6
5.29,121.0,4.54,21.0,77.0
4.92,125.0,4.76,35.4,51.5
5.89,112.0,2.76,28.3,90.0
6.84,120.3,4.27,36.4,100.0
6.24,113.0,3.38,37.0,100.0
5.93,114.6,4.53,24.2,100.0
4.74,117.6,4.19,33.1,94.0
6.04,122.5,4.33,29.4,79.9
6.98,124.7,3.97,37.6,66.5
4.85,120.4,2.53,24.3,66.9
5.8,113.4,3.64,33.6,98.2
6.69,113.4,4.95,32.2,100.0
6.35,119.8,4.81,25.9,98.1
6.24,109.8,2.13,22.7,76.6
6.26,107.2,2.49,33.0,65.3
5.4,112.1,2.4,34.8,86.3
5.23,110.7,4.18,26.3,88.8
6.52,110.9,4.45,32.9,100.0
6.53,109.7,2.64,27.9,83.9
6.67,105.8,3.52,34.3,65.4
6.78,105.4,4.52,24.0,62.6
5.78,124.8,4.2,37.8,58.9
5.75,113.6,3.63,25.7,95.3
6.5,112.7,3.77,27.4,100.0
6.12,118.6,3.53,21.2,88.6
6.25,109.4,2.89,22.2,79.7
6.49,124.0,3.7,30.3,66.3
6.73,120.7,4.07,25.4,92.3
5.34,106.8,4.62,36.7,76.8
5.44,113.4,3.91,20.3,94.4
4.73,122.6,4.28,27.6,63.9
5.95,123.9,2.48,26.7,53.4
4.59,114.3,3.38,20.4,81.4
5.66,117.3,2.03,22.5,83.7
5.86,108.3,2.74,28.3,70.8
5.22,124.8,4.18,29.9,52.3
5.98,109.6,4.98,28.1,93.4
4.58,123.9,2.3,30.6,50.0
4.59,118.0,3.2,31.9,83.0
6.56,117.2,4.4,20.2,100.0
5.4,115.3,2.61,29.3,89.9
4.82,109.6,3.67,39.3,85.4
5.81,108.5,4.2,30.4,84.5
6.42,109.4,3.85,33.6,93.2
5.04,108.7,2.56,26.2,67.3
6.06,120.6,3.07,35.5,86.2
4.71,112.0,4.35,35.5,89.7
4.63,106.2,3.66,30.4,51.5
5.83,124.4,2.02,39.5,52.2
5.85,122.7,4.28,22.5,72.0
6.09,123.6,2.11,20.3,50.1
6.32,124.9,4.24,35.4,61.0
6.94,108.5,2.61,36.1,87.8
5.79,112.9,4.87,22.4,100.0
5.31,120.2,3.1,25.3,77.7
6.49,118.9,2.98,20.4,92.1
5.18,108.1,2.45,25.9,61.8
5.6,121.3,2.92,35.5,73.1
4.7,109.5,4.63,30.4,80.5
4.56,109.5,4.99,27.0,85.1
6.91,115.7,3.1,27.4,100.0
6.59,116.9,3.35,20.0,98.6
6.24,116.6,4.17,26.0,100.0
5.52,106.8,4.66,32.9,75.7
4.93,122.5,3.78,39.5,72.7
4.89,110.3,3.17,36.9,86.4
5.13,107.6,3.24,20.5,60.9
5.87,122.8,4.09,38.0,77.1
6.29,124.1,2.01,35.7,52.1
6.15,122.2,3.86,35.6,83.3
5.2,121.2,3.07,29.2,70.2
6.89,118.1,4.38,28.0,100.0
6.34,116.0,2.28,26.1,92.1
5.89,106.7,3.76,21.3,62.9
6.03,113.2,3.44,24.6,95.4
5.55,112.5,3.93,24.9,93.5
5.12,110.2,2.19,29.7,73.4
5.39,119.5,3.74,34.9,88.5
6.39,114.9,3.68,29.5,100.0
4.54,106.6,3.68,21.2,50.0
4.79,109.4,3.81,39.2,81.6
4.62,118.7,4.03,38.9,92.4
4.6,106.5,4.41,35.7,60.6
6.64,122.0,2.81,39.8,79.8
6.26,114.9,4.48,30.9,100.0
5.69,114.6,3.49,39.3,100.0
4.74,116.8,2.23,21.5,78.6
5.73,121.5,2.18,27.3,67.7
5.68,112.0,3.0,24.5,89.6
4.93,118.6,4.35,23.9,86.6
5.58,116.3,4.12,22.8,99.0
5.5,110.3,4.37,32.4,93.1
6.04,122.6,3.55,35.6,74.6
6.09,120.9,3.32,31.6,81.9
4.61,118.2,2.44,22.9,73.9
5.44,122.0,2.98,36.2,72.4
6.06,122.3,3.3,32.7,76.9
5.76,119.2,2.27,27.8,80.8
6.64,121.7,2.66,33.5,80.7
6.15,118.9,3.79,25.2,90.0
4.91,118.6,4.21,26.9,87.6
4.68,117.4,5.0,38.3,99.8
6.11,120.1,4.8,25.8,93.4
4.57,108.2,3.93,29.4,66.7
5.96,122.6,3.26,37.8,72.1
6.85,122.4,3.91,34.2,84.8
5.94,105.6,4.36,21.2,57.5
5.47,121.5,2.36,22.9,61.4
6.11,107.6,3.23,20.2,64.5
5.65,111.7,4.52,32.6,98.7
5.86,119.9,3.15,29.0,86.5
6.85,108.2,3.72,22.7,77.7
5.47,121.4,3.76,39.2,80.7
6.9,121.6,2.55,30.6,79.7
6.76,115.1,3.09,24.8,100.0
4.99,105.1,3.0,30.0,50.0
4.67,110.7,2.08,33.6,75.0
