Pressure,Temperature,Catalyst,Time,Yield
7.31,121.2,4.06,38.3,97.5
11.63,98.2,3.4,39.0,50.0
9.99,104.7,2.17,20.1,69.4
8.99,125.9,4.76,26.3,68.1
5.67,116.1,4.94,36.7,100.0
5.67,132.1,3.29,30.7,50.0
4.94,112.2,3.84,36.2,94.9
11.0,129.8,3.35,37.1,50.0
9.01,113.0,2.97,28.9,100.0
9.81,134.2,2.23,27.2,50.0
4.65,133.4,3.37,29.1,50.0
11.77,108.2,4.46,33.1,100.0
10.74,130.4,2.05,27.3,50.0
6.09,128.9,3.75,35.5,50.0
5.86,103.4,4.64,38.1,50.0
5.88,120.0,2.65,25.6,79.3
6.78,97.9,2.55,39.3,50.0
8.44,128.5,4.32,32.5,50.0
7.74,102.0,2.77,37.6,50.0
6.68,97.8,2.58,22.1,50.0
9.09,111.0,3.13,25.0,100.0
5.55,118.1,3.18,26.4,92.8
6.69,129.2,4.62,26.1,50.0
7.25,134.0,3.86,23.4,50.0
7.92,112.6,3.22,37.4,100.0
10.39,97.4,3.6,28.4,50.0
6.0,125.0,4.86,39.3,64.8
8.36,117.6,2.34,31.7,100.0
8.94,112.9,2.62,22.8,100.0
4.85,107.4,4.89,30.9,69.6
9.06,115.1,4.87,39.9,100.0
5.78,108.5,2.53,31.3,72.8
4.99,125.3,2.44,20.0,50.0
11.62,116.8,3.26,38.7,100.0
11.74,130.1,2.15,24.7,50.0
10.56,116.7,3.96,33.8,100.0
6.78,104.5,2.23,30.3,50.0
5.23,129.0,2.17,26.5,50.0
9.63,117.3,3.46,25.7,100.0
7.8,103.3,4.87,38.6,59.8
5.42,119.9,3.28,38.2,88.1
8.21,109.3,3.07,30.3,100.0
4.76,128.8,4.99,25.2,50.0
11.32,113.1,3.6,22.0,100.0
6.44,124.1,3.13,23.1,58.7
9.47,98.8,3.16,30.4,50.0
6.84,110.8,2.58,26.2,90.7
8.4,134.3,3.54,20.8,50.0
8.6,127.3,3.32,29.1,50.0
5.89,101.4,2.81,34.9,50.0
11.77,106.1,2.48,37.8,100.0
10.31,108.2,2.93,31.7,100.0
11.55,121.0,3.53,34.5,100.0
11.21,125.3,2.17,27.3,77.1
8.98,125.0,2.46,29.9,64.4
11.41,115.4,4.84,34.6,100.0
5.16,127.4,3.63,34.6,50.0
5.97,112.5,2.19,28.5,90.4
4.84,100.0,4.08,30.9,50.0
6.94,117.6,2.19,38.5,98.0
7.42,133.1,4.22,32.6,50.0
6.54,126.7,4.25,32.9,50.0
10.72,118.1,3.95,35.7,100.0
7.18,120.9,4.2,22.3,95.7
6.61,132.2,2.26,30.5,50.0
8.57,112.1,4.18,39.2,100.0
5.56,108.3,2.41,27.2,65.4
10.52,134.1,3.02,25.9,50.0
5.06,129.5,4.83,32.0,50.0
11.9,107.9,3.51,24.4,100.0
10.29,113.6,4.9,31.1,100.0
5.99,111.6,2.27,23.1,83.5
4.54,101.0,3.43,31.6,50.0
10.62,133.3,2.19,32.0,50.0
9.8,111.2,3.89,28.4,100.0
9.97,130.0,2.24,27.7,50.0
10.28,102.6,2.53,24.9,50.0
5.06,116.9,2.78,26.6,86.8
7.19,96.0,4.25,30.0,50.0
5.37,125.6,2.49,25.0,50.0
10.97,118.2,4.54,35.7,100.0
