Pressure,Temperature,Catalyst,Time,FlowRate,StirringSpeed,pH,Humidity,FeedConcentration,ReactorVolume,CoolingRate,Voltage,Current,Impurity,OperatorExperience,Yield
5.5,115.0,3.55,26.5,64.5,101.0,9.26,71.7,0.69,8.12,1.62,204.6,5.07,0.46,4.2,95.0
7.8,127.3,2.84,50.8,72.9,772.0,9.44,67.4,1.31,2.14,6.27,145.3,15.28,2.42,9.2,95.0
6.93,118.1,4.86,59.7,47.8,475.0,6.27,36.9,1.42,4.32,8.19,178.3,6.54,0.49,9.8,95.0
6.39,94.2,1.88,52.0,37.4,590.0,5.39,45.2,1.26,5.0,7.88,192.1,18.03,1.75,9.7,95.0
4.62,99.3,3.35,27.3,39.1,739.0,5.15,50.5,1.28,5.99,8.54,173.1,8.52,4.38,6.7,94.02
4.62,101.0,3.8,45.6,61.8,403.0,9.29,54.0,0.74,1.68,9.82,100.3,10.25,3.2,9.4,95.0
4.23,102.9,4.3,36.7,54.1,408.0,5.39,38.0,1.4,4.56,9.96,115.2,9.78,1.28,5.5,95.0
7.46,118.3,2.63,49.3,49.2,217.0,7.19,52.0,1.97,3.81,4.69,113.4,12.47,0.16,1.0,95.0
6.4,115.2,3.75,17.7,32.2,734.0,5.99,66.4,1.96,5.16,5.52,154.0,12.29,1.54,1.5,95.0
6.83,100.2,2.21,41.9,72.5,553.0,6.99,61.2,1.02,7.57,5.48,161.2,11.91,4.83,5.5,95.0
4.08,93.4,2.74,48.7,66.9,226.0,6.07,77.1,1.59,2.36,6.78,145.4,4.22,1.74,2.9,85.11
7.88,98.6,4.58,48.1,28.4,492.0,5.76,34.3,1.16,7.14,3.21,179.9,6.35,0.96,5.3,95.0
7.33,139.2,4.8,58.2,42.0,330.0,6.56,60.7,0.71,4.21,7.95,113.4,11.48,2.19,3.8,67.15
4.85,113.4,3.88,12.9,52.5,203.0,6.0,77.0,1.61,3.76,2.14,238.6,19.94,3.7,1.8,88.37
4.73,133.4,2.5,27.3,47.3,227.0,9.04,25.8,1.02,4.62,9.56,156.2,8.23,4.29,2.5,40.0
4.73,132.4,4.28,33.8,43.9,491.0,7.48,53.7,1.64,8.7,2.12,106.3,7.44,0.4,9.5,62.34
5.22,115.6,1.1,25.5,63.1,495.0,5.06,79.1,1.07,1.61,7.68,203.8,8.05,1.67,1.2,73.45
6.1,125.3,1.41,25.5,23.3,653.0,5.42,23.7,0.76,6.17,4.57,130.5,16.76,4.3,2.8,57.93
5.73,99.6,3.65,18.8,48.3,274.0,4.32,41.8,1.78,7.61,6.7,106.2,13.45,1.82,2.0,95.0
5.16,124.4,2.16,50.6,35.7,741.0,5.8,25.1,0.58,6.62,3.83,132.9,18.2,1.93,9.3,75.13
6.45,103.6,4.81,55.4,25.1,463.0,8.02,55.1,1.05,5.82,2.08,103.6,3.18,4.27,8.7,95.0
4.56,131.6,2.74,14.1,47.9,243.0,5.1,71.2,1.51,6.6,9.44,167.7,15.21,2.3,2.5,40.0
5.17,94.2,2.72,17.7,30.3,389.0,4.6,34.5,1.83,4.19,5.59,119.5,9.15,0.69,3.6,84.19
5.47,128.7,3.71,21.4,35.5,746.0,5.93,32.3,0.74,4.82,3.7,221.8,16.98,1.47,2.6,70.66
5.82,95.0,4.07,35.4,50.4,435.0,7.68,51.8,0.64,4.49,6.62,202.3,5.47,3.3,8.0,95.0
7.14,134.1,2.9,49.6,78.4,712.0,6.84,41.3,0.95,6.22,3.32,224.1,3.49,1.69,6.5,74.53
4.8,105.2,1.86,13.6,61.1,212.0,5.99,69.6,0.88,8.96,1.36,144.6,14.99,2.79,3.7,74.68
6.06,122.7,4.09,41.8,36.8,740.0,9.3,28.0,1.54,5.25,8.14,220.1,5.81,1.55,10.0,95.0
6.37,114.4,2.28,17.5,42.9,401.0,6.81,74.9,0.86,4.65,9.96,216.0,10.31,4.43,5.0,88.37
4.19,108.3,1.7,58.6,44.4,755.0,6.73,68.6,1.44,7.1,9.61,111.8,5.4,3.92,8.9,92.68
6.43,122.3,3.53,54.9,29.2,706.0,4.19,20.9,1.48,2.78,8.92,189.8,13.49,1.0,2.6,95.0
4.68,137.4,1.36,57.5,29.6,562.0,7.84,36.7,1.71,9.03,7.73,224.0,11.23,3.23,2.6,40.0
4.26,92.1,4.89,15.3,28.9,571.0,6.76,74.8,1.41,7.81,2.46,209.6,11.33,0.44,8.5,95.0
7.8,135.9,3.53,34.4,51.3,248.0,4.87,71.3,1.88,4.15,2.4,199.5,14.4,1.82,3.1,65.26
7.86,120.5,4.94,18.3,60.5,522.0,5.46,49.6,1.54,2.88,2.35,170.1,1.8,2.81,2.1,95.0
7.23,130.4,2.36,40.0,55.4,485.0,5.21,52.8,0.86,6.76,5.14,230.6,1.67,4.77,9.2,72.23
5.22,109.2,4.88,21.6,78.7,334.0,4.73,24.8,1.91,9.63,5.28,221.8,2.94,3.82,8.1,95.0
4.39,113.6,1.58,48.5,27.6,454.0,6.61,68.0,0.78,8.87,6.2,187.2,9.5,1.79,2.9,78.87
6.74,133.4,1.16,42.2,79.2,750.0,6.18,24.6,0.78,1.69,3.04,107.5,7.52,4.66,9.7,51.78
5.76,110.7,1.13,38.6,48.0,104.0,6.16,58.6,1.61,3.5,1.36,221.0,6.11,1.05,5.8,87.08
4.49,116.7,2.86,51.3,33.1,392.0,5.51,26.8,1.28,7.19,1.91,228.3,17.77,4.16,4.5,83.55
5.98,91.0,1.33,35.0,76.6,334.0,6.62,46.0,0.74,5.88,1.62,110.0,17.84,2.56,2.3,80.49
